timestamp,state,target_x,target_y,confidence,distance_mm,yaw_cmd,pitch_cmd,vx_cmd,battery_v,fired
1782043382.65227,SCANNING,-1,-1,0.0,10000,0.0,0.0,0.0,99.0,False
1782043384.185254,SCANNING,-1,-1,0.0,10000,0.0,0.0,0.0,99.0,False
1782043385.6789353,SCANNING,-1,-1,0.0,10000,0.0,0.0,0.0,99.0,False
1782043387.1610103,SCANNING,-1,-1,0.0,10000,0.0,0.0,0.0,99.0,False
1782043388.6325262,SCANNING,-1,-1,0.0,10000,0.0,0.0,0.0,99.0,False
1782043390.1342535,SCANNING,-1,-1,0.0,10000,0.0,0.0,0.0,99.0,False
1782043391.649293,SCANNING,-1,-1,0.0,10000,0.0,0.0,0.0,99.0,False
1782043393.1742275,SCANNING,-1,-1,0.0,10000,0.0,0.0,0.0,99.0,False
1782043395.1622295,SCANNING,-1,-1,0.0,10000,0.0,0.0,0.0,99.0,False
1782043396.6430323,SCANNING,-1,-1,0.0,10000,0.0,0.0,0.0,99.0,False
1782043398.1482701,SCANNING,-1,-1,0.0,10000,0.0,0.0,0.0,99.0,False
1782043399.6692698,SCANNING,-1,-1,0.0,10000,0.0,0.0,0.0,99.0,False
1782043401.1714652,SCANNING,-1,-1,0.0,10000,0.0,0.0,0.0,99.0,False
1782043402.6472914,SCANNING,-1,-1,0.0,10000,0.0,0.0,0.0,99.0,False
1782043404.1463144,SCANNING,-1,-1,0.0,10000,0.0,0.0,0.0,99.0,False
1782043405.664569,SCANNING,-1,-1,0.0,10000,0.0,0.0,0.0,99.0,False
1782043407.1574786,SCANNING,-1,-1,0.0,10000,0.0,0.0,0.0,99.0,False
1782043408.6557934,SCANNING,-1,-1,0.0,10000,0.0,0.0,0.0,99.0,False
1782043410.1672063,SCANNING,-1,-1,0.0,10000,0.0,0.0,0.0,99.0,False
1782043411.6564183,SCANNING,-1,-1,0.0,10000,0.0,0.0,0.0,99.0,False
1782043413.1628675,SCANNING,-1,-1,0.0,10000,0.0,0.0,0.0,99.0,False
1782043414.6577435,SCANNING,-1,-1,0.0,10000,0.0,0.0,0.0,99.0,False
1782043416.159231,SCANNING,-1,-1,0.0,10000,0.0,0.0,0.0,99.0,False
1782043418.1650383,SCANNING,-1,-1,0.0,10000,0.0,0.0,0.0,99.0,False
1782043419.649652,SCANNING,-1,-1,0.0,10000,0.0,0.0,0.0,99.0,False
1782043421.1439474,SCANNING,-1,-1,0.0,10000,0.0,0.0,0.0,99.0,False
1782043423.1631916,SCANNING,-1,-1,0.0,10000,0.0,0.0,0.0,99.0,False
1782043424.673532,SCANNING,-1,-1,0.0,10000,0.0,0.0,0.0,99.0,False
1782043426.1663172,SCANNING,-1,-1,0.0,10000,0.0,0.0,0.0,99.0,False
1782043427.6473746,SCANNING,-1,-1,0.0,10000,0.0,0.0,0.0,99.0,False
1782043429.1441476,SCANNING,-1,-1,0.0,10000,0.0,0.0,0.0,99.0,False
1782043430.6507986,SCANNING,-1,-1,0.0,10000,0.0,0.0,0.0,99.0,False
