timestamp,state,target_x,target_y,confidence,distance_mm,yaw_cmd,pitch_cmd,vx_cmd,battery_v,fired
1782040283.4527771,SCANNING,-1,-1,0.0,10000,0.0,0.0,0.0,99.0,False
1782040284.9263945,SCANNING,-1,-1,0.0,10000,0.0,0.0,0.0,99.0,False
1782040286.1222417,SCANNING,-1,-1,0.0,10000,0.0,0.0,0.0,99.0,False
1782040287.235913,SCANNING,-1,-1,0.0,10000,0.0,0.0,0.0,99.0,False
1782040288.2372386,SCANNING,-1,-1,0.0,10000,0.0,0.0,0.0,99.0,False
1782040289.263808,SCANNING,-1,-1,0.0,10000,0.0,0.0,0.0,99.0,False
1782040290.2926664,SCANNING,-1,-1,0.0,10000,0.0,0.0,0.0,99.0,False
1782040291.3142605,SCANNING,-1,-1,0.0,10000,0.0,0.0,0.0,99.0,False
1782040292.3248365,SCANNING,-1,-1,0.0,10000,0.0,0.0,0.0,99.0,False
1782040293.8222308,SCANNING,-1,-1,0.0,10000,0.0,0.0,0.0,99.0,False
1782040295.275998,SCANNING,-1,-1,0.0,10000,0.0,0.0,0.0,99.0,False
1782040296.7592118,SCANNING,-1,-1,0.0,10000,0.0,0.0,0.0,99.0,False
1782040298.2518377,SCANNING,-1,-1,0.0,10000,0.0,0.0,0.0,99.0,False
1782040299.2542474,SCANNING,-1,-1,0.0,10000,0.0,0.0,0.0,99.0,False
1782040300.2662346,SCANNING,-1,-1,0.0,10000,0.0,0.0,0.0,99.0,False
1782040301.2877944,SCANNING,-1,-1,0.0,10000,0.0,0.0,0.0,99.0,False
1782040302.3052175,SCANNING,-1,-1,0.0,10000,0.0,0.0,0.0,99.0,False
1782040303.3122888,SCANNING,-1,-1,0.0,10000,0.0,0.0,0.0,99.0,False
1782040304.7985008,SCANNING,-1,-1,0.0,10000,0.0,0.0,0.0,99.0,False
1782040306.268541,SCANNING,-1,-1,0.0,10000,0.0,0.0,0.0,99.0,False
1782040307.7678123,SCANNING,-1,-1,0.0,10000,0.0,0.0,0.0,99.0,False
1782040308.7752538,SCANNING,-1,-1,0.0,10000,0.0,0.0,0.0,99.0,False
1782040309.792221,SCANNING,-1,-1,0.0,10000,0.0,0.0,0.0,99.0,False
1782040310.8012443,SCANNING,-1,-1,0.0,10000,0.0,0.0,0.0,99.0,False
1782040312.289876,SCANNING,-1,-1,0.0,10000,0.0,0.0,0.0,99.0,False
1782040313.7805946,SCANNING,-1,-1,0.0,10000,0.0,0.0,0.0,99.0,False
